Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Acc_Gdd,Total Biomass (kg/ha)
Testbed,9/18/2024,Pre,14.1,1,105.45,1.14,0.56,0.62,0.84,0.72,3213.08,2277.16
Testbed,9/18/2024,Pre,14.1,3,149.32,1.16,0.56,0.62,0.84,0.72,3213.08,3006.11
Testbed,9/18/2024,Pre,14.1,7,119.71,1.24,0.59,0.63,0.89,0.74,3213.08,3195.39
Testbed,9/18/2024,Pre,14.1,11,111.19,1.25,0.59,0.63,0.89,0.75,3213.08,2596.84
Testbed,9/18/2024,Pre,14.1,12,100.31,1.2,0.57,0.62,0.85,0.72,3213.08,2597.93
Testbed,9/18/2024,Pre,14.2,3,147.23,1.2,0.58,0.63,0.88,0.74,3213.08,2290.43
Testbed,9/18/2024,Pre,14.2,4,111.49,1.21,0.58,0.63,0.87,0.73,3213.08,1961.03
Testbed,9/18/2024,Pre,14.2,9,153.1,1.32,0.61,0.64,0.91,0.76,3213.08,2698.95
Testbed,9/18/2024,Pre,14.2,10,151.63,1.32,0.61,0.65,0.92,0.76,3213.08,2750.61
Testbed,9/18/2024,Pre,14.3,3,121.06,1.22,0.59,0.63,0.88,0.74,3213.08,2257.95
Testbed,9/18/2024,Pre,14.3,4,136.24,1.26,0.6,0.64,0.9,0.75,3213.08,1924.17
Testbed,9/18/2024,Pre,14.3,9,141.07,1.28,0.6,0.63,0.9,0.75,3213.08,2785.41
Testbed,9/18/2024,Pre,14.3,10,132.57,1.24,0.59,0.63,0.89,0.74,3213.08,2336.88
Testbed,9/18/2024,Pre,14.4,3,146.13,1.23,0.59,0.63,0.88,0.74,3213.08,3427
Testbed,9/18/2024,Pre,14.4,7,93.35,1.35,0.61,0.64,0.92,0.76,3213.08,2239.42
Testbed,9/18/2024,Pre,14.4,8,141.7,1.28,0.6,0.63,0.9,0.75,3213.08,2301.77
Testbed,9/18/2024,Pre,14.4,11,125.97,1.32,0.61,0.63,0.92,0.76,3213.08,2228.46
Testbed,9/18/2024,Pre,14.4,12,147.37,1.25,0.59,0.63,0.89,0.74,3213.08,1786.03
Testbed,10/2/2024,Pre,14.4,1,149.76,1.46,0.66,0.66,1,0.8,3430.01,1966.35
Testbed,10/2/2024,Pre,14.4,2,132.12,1.46,0.67,0.67,1,0.8,3430.01,2363.74
Testbed,10/2/2024,Pre,14.4,3,147.4,1.46,0.67,0.66,1,0.8,3430.01,1793.33
Testbed,10/2/2024,Pre,14.4,4,122.19,1.45,0.66,0.66,0.98,0.79,3430.01,1674.45
Testbed,10/2/2024,Pre,14.4,5,117.31,1.4,0.66,0.65,0.99,0.79,3430.01,1549.87
Testbed,10/2/2024,Pre,14.4,6,138.67,1.48,0.66,0.67,1,0.8,3430.01,1650.35
Testbed,10/2/2024,Pre,14.4,7,99.4,1.48,0.67,0.66,1.01,0.8,3430.01,1525.41
Testbed,10/2/2024,Pre,14.4,8,114.47,1.53,0.67,0.66,1,0.8,3430.01,1652.5
Testbed,10/2/2024,Pre,14.4,9,100.7,1.55,0.68,0.68,1.02,0.81,3430.01,1440.74
Testbed,10/2/2024,Pre,14.4,10,113.17,1.56,0.68,0.66,1.03,0.81,3430.01,1389.8
Testbed,10/2/2024,Pre,14.3,1,122.53,1.58,0.69,0.67,1.03,0.81,3430.01,1866.78
Testbed,10/2/2024,Pre,14.3,2,133.8,1.62,0.73,0.69,1.09,0.84,3430.01,1536.68
Testbed,10/2/2024,Pre,14.3,3,118.15,1.57,0.69,0.68,1.04,0.82,3430.01,1860.21
Testbed,10/2/2024,Pre,14.3,4,133.57,1.55,0.68,0.68,1.02,0.81,3430.01,1808.28
Testbed,10/2/2024,Pre,14.3,5,142.63,1.53,0.68,0.68,1.02,0.81,3430.01,2172.74
Testbed,10/2/2024,Pre,14.3,6,123.93,1.67,0.7,0.68,1.05,0.82,3430.01,2024.2
Testbed,10/2/2024,Pre,14.3,7,142.31,1.6,0.7,0.68,1.05,0.82,3430.01,2258.02
Testbed,10/2/2024,Pre,14.3,8,127.65,1.54,0.68,0.67,1.02,0.81,3430.01,1901.62
Testbed,10/2/2024,Pre,14.3,9,120.38,1.52,0.68,0.67,1.02,0.81,3430.01,1815.41
Testbed,10/2/2024,Pre,14.3,10,125.94,1.57,0.7,0.67,1.05,0.82,3430.01,2328.06
Testbed,10/2/2024,Pre,14.2,1,106.21,1.66,0.72,0.69,1.08,0.84,3430.01,958.89
Testbed,10/2/2024,Pre,14.2,2,136.26,1.62,0.71,0.69,1.07,0.83,3430.01,1834.24
Testbed,10/2/2024,Pre,14.2,3,108.31,1.65,0.7,0.68,1.05,0.83,3430.01,2037.73
Testbed,10/2/2024,Pre,14.2,4,123.74,1.57,0.69,0.67,1.03,0.81,3430.01,2134.07
Testbed,10/2/2024,Pre,14.2,5,138.3,1.57,0.7,0.67,1.05,0.82,3430.01,2042.67
Testbed,10/2/2024,Pre,14.2,6,134.76,1.58,0.69,0.66,1.03,0.81,3430.01,1978.43
Testbed,10/2/2024,Pre,14.2,7,121.95,1.58,0.69,0.66,1.04,0.82,3430.01,1605.41
Testbed,10/2/2024,Pre,14.2,8,145.25,1.51,0.68,0.67,1.03,0.81,3430.01,2007.84
Testbed,10/2/2024,Pre,14.2,9,110.56,1.55,0.69,0.68,1.03,0.82,3430.01,1534.12
Testbed,10/2/2024,Pre,14.2,10,123.35,1.53,0.69,0.67,1.03,0.81,3430.01,1667.25
Testbed,10/2/2024,Pre,14.1,1,112.5,1.68,0.73,0.7,1.09,0.84,3430.01,2402.04
Testbed,10/2/2024,Pre,14.1,2,124.86,1.67,0.71,0.69,1.07,0.83,3430.01,1991.94
Testbed,10/2/2024,Pre,14.1,3,123.25,1.55,0.69,0.68,1.04,0.82,3430.01,2776.01
Testbed,10/2/2024,Pre,14.1,4,100.44,1.61,0.7,0.67,1.05,0.82,3430.01,1818.79
Testbed,10/2/2024,Pre,14.1,5,109.41,1.64,0.71,0.69,1.07,0.83,3430.01,2317.06
Testbed,10/2/2024,Pre,14.1,6,117.97,1.52,0.69,0.67,1.04,0.82,3430.01,2366.49
Testbed,10/2/2024,Pre,14.1,7,121.72,1.56,0.7,0.67,1.05,0.82,3430.01,1885.8
Testbed,10/2/2024,Pre,14.1,8,127.71,1.59,0.71,0.68,1.06,0.83,3430.01,2162.84
Testbed,10/2/2024,Pre,14.1,9,116.59,1.68,0.72,0.67,1.07,0.83,3430.01,2026.91
Testbed,10/2/2024,Pre,14.1,10,86.32,1.52,0.69,0.67,1.04,0.82,3430.01,1360.33
Testbed,10/2/2024,Pre,28.1,1,162.79,1.61,0.69,0.68,1.04,0.82,3430.01,2696.47
Testbed,10/2/2024,Pre,28.1,2,174.29,1.59,0.71,0.68,1.06,0.83,3430.01,2740.57
Testbed,10/2/2024,Pre,28.1,3,145.6,1.72,0.74,0.69,1.12,0.85,3430.01,2886.37
Testbed,10/2/2024,Pre,28.1,4,159.57,1.78,0.73,0.69,1.1,0.85,3430.01,3348.04
Testbed,10/2/2024,Pre,28.1,8,159.71,1.73,0.74,0.7,1.11,0.85,3430.01,3307.41
Testbed,10/2/2024,Pre,28.1,9,190.06,1.63,0.73,0.7,1.1,0.84,3430.01,3336.69
Testbed,10/2/2024,Pre,28.1,10,150.5,1.72,0.73,0.7,1.1,0.85,3430.01,3499.72
Testbed,10/2/2024,Pre,28.2,1,179.38,1.77,0.73,0.71,1.1,0.85,3430.01,2734.82
Testbed,10/2/2024,Pre,28.2,2,177.52,1.57,0.69,0.67,1.03,0.82,3430.01,2493.66
Testbed,10/2/2024,Pre,28.2,3,180.74,1.56,0.7,0.68,1.05,0.82,3430.01,2610.66
Testbed,10/2/2024,Pre,28.2,4,172.59,1.84,0.74,0.71,1.11,0.85,3430.01,2012.03
Testbed,10/2/2024,Pre,28.2,5,214.32,1.76,0.74,0.7,1.11,0.85,3430.01,2894.17
Testbed,10/2/2024,Pre,28.2,6,204.04,1.6,0.71,0.69,1.07,0.83,3430.01,2564.47
Testbed,10/2/2024,Pre,28.2,7,118.43,1.77,0.74,0.7,1.1,0.85,3430.01,2048.72
Testbed,10/2/2024,Pre,28.2,8,192.66,1.77,0.75,0.7,1.13,0.86,3430.01,3095.47
Testbed,10/2/2024,Pre,28.2,9,255.73,1.92,0.77,0.71,1.15,0.87,3430.01,2442.83
Testbed,10/2/2024,Pre,28.2,10,161.92,1.68,0.74,0.71,1.11,0.85,3430.01,2161.64
Testbed,10/2/2024,Pre,28.3,1,185.07,1.78,0.73,0.69,1.1,0.85,3430.01,3166.19
Testbed,10/2/2024,Pre,28.3,2,200.43,1.79,0.76,0.71,1.13,0.86,3430.01,2664.07
Testbed,10/2/2024,Pre,28.3,3,265.05,1.73,0.73,0.7,1.1,0.85,3430.01,3459.66
Testbed,10/2/2024,Pre,28.3,4,151.62,1.82,0.75,0.7,1.12,0.86,3430.01,3298.78
Testbed,10/2/2024,Pre,28.3,5,165.61,1.89,0.76,0.71,1.14,0.86,3430.01,3168.73
Testbed,10/2/2024,Pre,28.3,6,202.75,1.77,0.74,0.71,1.12,0.85,3430.01,3144.29
Testbed,10/2/2024,Pre,28.3,7,199.88,1.71,0.73,0.71,1.1,0.85,3430.01,2405.17
Testbed,10/2/2024,Pre,28.3,8,199.92,1.79,0.75,0.7,1.13,0.86,3430.01,2595.42
Testbed,10/2/2024,Pre,28.3,9,211.12,1.86,0.77,0.71,1.15,0.87,3430.01,2601.74
Testbed,10/2/2024,Pre,28.3,10,196.56,1.81,0.75,0.71,1.13,0.86,3430.01,2540.07
Testbed,10/2/2024,Pre,28.4,1,238.07,1.8,0.76,0.71,1.14,0.86,3430.01,3045.88
Testbed,10/2/2024,Pre,28.4,2,261.76,1.79,0.76,0.72,1.14,0.86,3430.01,3247.73
Testbed,10/2/2024,Pre,28.4,3,171.91,1.81,0.76,0.72,1.14,0.86,3430.01,2644.12
Testbed,10/2/2024,Pre,28.4,5,224.34,1.88,0.77,0.72,1.15,0.87,3430.01,2739.13
Testbed,10/2/2024,Pre,28.4,6,184.85,1.65,0.74,0.7,1.11,0.85,3430.01,2439.06
Testbed,10/2/2024,Pre,28.4,7,202.85,1.67,0.73,0.69,1.09,0.84,3430.01,3740.36
Testbed,10/2/2024,Pre,28.4,8,237.62,1.79,0.75,0.71,1.13,0.86,3430.01,3209.49
Testbed,10/2/2024,Pre,28.4,9,164.83,1.81,0.76,0.7,1.14,0.86,3430.01,2327.94
Testbed,10/2/2024,Pre,28.4,10,174.84,1.64,0.73,0.7,1.09,0.84,3430.01,2266.09
Testbed,10/17/2024,Pre,14.1,1,59.34,1.36,0.66,0.65,0.98,0.79,3604.62,1543.33
Testbed,10/17/2024,Pre,14.1,2,65.95,1.27,0.64,0.66,0.96,0.78,3604.62,1465.04
Testbed,10/17/2024,Pre,14.1,3,64.99,1.2,0.62,0.66,0.93,0.77,3604.62,1457.19
Testbed,10/17/2024,Pre,14.1,4,47.79,1.2,0.61,0.64,0.92,0.76,3604.62,2064.4
Testbed,10/17/2024,Pre,14.1,5,69.42,1.07,0.57,0.62,0.86,0.73,3604.62,3026.37
Testbed,10/17/2024,Pre,14.1,6,66.06,0.99,0.53,0.59,0.8,0.7,3604.62,1478.08
Testbed,10/17/2024,Pre,14.1,7,44.22,1.04,0.57,0.63,0.85,0.72,3604.62,2571
Testbed,10/17/2024,Pre,14.1,8,55.92,0.96,0.54,0.61,0.81,0.7,3604.62,1782.55
Testbed,10/17/2024,Pre,14.1,9,76.35,0.94,0.53,0.6,0.79,0.69,3604.62,1996.7
Testbed,10/17/2024,Pre,14.1,11,47.23,1.15,0.59,0.62,0.89,0.74,3604.62,1796.46
Testbed,10/17/2024,Pre,14.1,12,48.94,0.93,0.52,0.58,0.78,0.69,3604.62,1312.21
Testbed,10/17/2024,Pre,14.2,1,54.09,1.13,0.59,0.63,0.89,0.74,3604.62,1538.66
Testbed,10/17/2024,Pre,14.2,2,66.26,1.29,0.64,0.67,0.96,0.78,3604.62,1439.26
Testbed,10/17/2024,Pre,14.2,3,57.13,1.11,0.6,0.65,0.9,0.75,3604.62,1636.09
Testbed,10/17/2024,Pre,14.2,4,57.13,1.11,0.6,0.65,0.9,0.75,3604.62,1490.89
Testbed,10/17/2024,Pre,14.2,5,65.38,1.02,0.56,0.61,0.84,0.72,3604.62,1376.66
Testbed,10/17/2024,Pre,14.2,6,75.83,1.08,0.57,0.62,0.86,0.73,3604.62,1882.59
Testbed,10/17/2024,Pre,14.2,7,46.05,1.09,0.58,0.63,0.87,0.73,3604.62,1179.38
Testbed,10/17/2024,Pre,14.2,8,47.3,1,0.55,0.6,0.82,0.71,3604.62,1513.93
Testbed,10/17/2024,Pre,14.2,9,54.71,1.01,0.55,0.6,0.83,0.71,3604.62,1308.58
Testbed,10/17/2024,Pre,14.2,10,60.16,1.09,0.57,0.63,0.86,0.73,3604.62,1720.61
Testbed,10/17/2024,Pre,14.2,11,46.71,1.29,0.64,0.65,0.96,0.78,3604.62,2005.65
Testbed,10/17/2024,Pre,14.2,12,57.87,1.14,0.6,0.62,0.9,0.75,3604.62,1553.85
