,Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Total Biomass (kg/ha)
0,Testbed,2024-09-18,Pre,14.1,1,105.445934,1.141262174,0.560975611,0.617693543,0.841383278,0.718725324,2277.159749
1,Testbed,2024-09-18,Pre,14.1,3,149.3161016,1.159144878,0.560490072,0.624551594,0.840654612,0.718326509,3006.111333
2,Testbed,2024-09-18,Pre,14.1,7,119.7058855,1.242723107,0.592521191,0.631194472,0.888696134,0.74410671,3195.389656
3,Testbed,2024-09-18,Pre,14.1,11,111.1924816,1.250599504,0.593850851,0.627519369,0.890691698,0.745154798,2596.838964
4,Testbed,2024-09-18,Pre,14.1,12,100.3142433,1.200681925,0.566883862,0.615491033,0.850244343,0.723556757,2597.932171
5,Testbed,2024-09-18,Pre,14.2,3,147.232558,1.202654481,0.584606707,0.632018626,0.8768273,0.737834096,2290.433997
6,Testbed,2024-09-18,Pre,14.2,4,111.493998,1.210912824,0.580761194,0.626656294,0.871059358,0.734763443,1961.027113
7,Testbed,2024-09-18,Pre,14.2,9,153.0973473,1.323641896,0.607254267,0.636941433,0.910792649,0.755619407,2698.945981
8,Testbed,2024-09-18,Pre,14.2,10,151.63115,1.324358463,0.611975133,0.649820924,0.917873442,0.759263992,2750.610831
9,Testbed,2024-09-18,Pre,14.3,3,121.0555715,1.216558933,0.586819232,0.631237328,0.880142033,0.739593089,2257.953246
10,Testbed,2024-09-18,Pre,14.3,4,136.236078,1.261015058,0.598219454,0.637842119,0.897242367,0.748584628,1924.173737
11,Testbed,2024-09-18,Pre,14.3,9,141.0745292,1.283010721,0.597915411,0.625943303,0.896783233,0.748345673,2785.40748
12,Testbed,2024-09-18,Pre,14.3,10,132.5705847,1.238420129,0.591631472,0.625308156,0.88735795,0.743403614,2336.88242
13,Testbed,2024-09-18,Pre,14.4,3,146.13291,1.226662278,0.586301386,0.630985916,0.87936604,0.739181757,3426.996381
14,Testbed,2024-09-18,Pre,14.4,7,93.349806,1.354185104,0.611588418,0.635773659,0.917290986,0.758965671,2239.415193
15,Testbed,2024-09-18,Pre,14.4,8,141.6988455,1.283777952,0.598002017,0.633912146,0.896913409,0.748413563,2301.768808
16,Testbed,2024-09-18,Pre,14.4,11,125.9726967,1.324216723,0.611266494,0.629165828,0.916808128,0.758717716,2228.456517
17,Testbed,2024-09-18,Pre,14.4,12,147.3744481,1.248750806,0.59350878,0.631941617,0.890175104,0.744884491,1786.026553
18,Testbed,2024-10-02,Pre,14.4,1,149.7565497,1.46221780776977,0.66353291273117,0.65656566619873,0.995176255702972,0.797715425491333,1966.35178
19,Testbed,2024-10-02,Pre,14.4,2,132.1175926,1.46149790287017,0.669485390186309,0.667068779468536,1.00410676002502,0.80200308561325,2363.737362
20,Testbed,2024-10-02,Pre,14.4,3,147.4013459,1.46489238739013,0.66732382774353,0.664452672004699,1.00086236000061,0.80044937133789,1793.32663
21,Testbed,2024-10-02,Pre,14.4,4,122.1911495,1.44676780700683,0.65655106306076,0.656950116157531,0.98470801115036,0.792648375034332,1674.453199
22,Testbed,2024-10-02,Pre,14.4,5,117.3115862,1.40291106700897,0.659708738327026,0.654088079929351,0.989443004131317,0.794945478439331,1549.870261
23,Testbed,2024-10-02,Pre,14.4,6,138.6725646,1.47795975208282,0.664771318435669,0.666006922721862,0.997033715248107,0.798609912395477,1650.350448
24,Testbed,2024-10-02,Pre,14.4,7,99.40330734,1.4777306318283,0.673351049423217,0.663304507732391,1.00990462303161,0.804770827293396,1525.41416
25,Testbed,2024-10-02,Pre,14.4,8,114.4720781,1.52939164638519,0.665757477283477,0.661637425422668,0.99851244688034,0.799321174621582,1652.497687
26,Testbed,2024-10-02,Pre,14.4,9,100.6953313,1.55325615406036,0.678290784358978,0.677466869354248,1.01731121540069,0.808288693428039,1440.743114
27,Testbed,2024-10-02,Pre,14.4,10,113.1721067,1.55795085430145,0.6845703125,0.664656221866607,1.02673017978668,0.812731564044952,1389.798241
28,Testbed,2024-10-02,Pre,14.3,1,122.52944,1.58379793167114,0.68639051914215,0.670329689979553,1.02945888042449,0.814012944698333,1866.776567
29,Testbed,2024-10-02,Pre,14.3,2,133.801682,1.6173061132431,0.725017726421356,0.694592714309692,1.08739817142486,0.840573251247406,1536.682762
30,Testbed,2024-10-02,Pre,14.3,3,118.1523965,1.56980633735656,0.694581270217895,0.680097699165344,1.04174363613128,0.819745957851409,1860.209951
31,Testbed,2024-10-02,Pre,14.3,4,133.5698983,1.54781651496887,0.682261228561401,0.676135003566741,1.02326714992523,0.811101794242858,1808.27557
32,Testbed,2024-10-02,Pre,14.3,5,142.634137,1.53191947937011,0.681513428688049,0.681110858917236,1.02214777469635,0.810573399066925,2172.740081
33,Testbed,2024-10-02,Pre,14.3,6,123.9274358,1.66841983795166,0.696851372718811,0.681257545948028,1.04514944553375,0.821325242519378,2024.200794
