Exclude (Y/N),Experiment,Date,JulianDate,PrePost,Plot,Strip,Coordinates,Farm_Coordinates,PT_Height(mm),NDVI_mean,GNDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,CLRE_mean,SRre_mean,unique_id,Dry Matter,Residual,Biomass (kg/Ha),Total Biomass (kg/ha)
N,TB,4/15/2025,105,Pre,14.1,1,"POLYGON ((-92.27123139 38.90573442, -92.27123119 38.90572702, -92.27116149 38.90572752, -92.27116159 38.90573482, -92.27123139 38.90573442))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",162.04,0.737,0.665,1.106,0.849,0.495,1.957,2.957,14.1_1,0.2,1056,1484.94,2540.94
N,TB,4/15/2025,105,Pre,14.1,2,"POLYGON ((-92.27113229 38.90573502, -92.27113239 38.90572782, -92.27106169 38.90572762, -92.27106169 38.90573482, -92.27113229 38.90573502))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",210.39,0.753,0.706,1.129,0.859,0.592,2.904,3.904,14.1_2,0.18,1056,2226.54,3282.54
N,TB,4/15/2025,105,Pre,14.1,3,"POLYGON ((-92.27106122 38.90570183, -92.2710616 38.90569478, -92.27113253 38.90569484, -92.2711324 38.90570164, -92.27106122 38.90570183))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",134.4,0.754,0.693,1.13,0.859,0.571,2.666,3.666,14.1_3,0.2,1056,1476.38,2532.38
N,TB,4/15/2025,105,Pre,14.1,4,"POLYGON ((-92.271161 38.90569451, -92.27116133 38.90570191, -92.27123146 38.90570151, -92.27123153 38.90569424, -92.271161 38.90569451))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",157.13,0.752,0.684,1.128,0.859,0.535,2.302,3.302,14.1_4,0.2,1056,1452.77,2508.77
Y,TB,4/15/2025,105,Pre,14.1,5,"POLYGON ((-92.27123166 38.90566842, -92.27123184 38.90566122, -92.27116109 38.90566175, -92.27116109 38.90566887, -92.27123166 38.90566842))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",247.02,0.75,0.69,1.125,0.857,0.572,2.677,3.677,14.1_5,0.2,1056,1694.63,2750.63
N,TB,4/15/2025,105,Pre,14.1,6,"POLYGON ((-92.27113312 38.90566208, -92.27113324 38.90566895, -92.27106142 38.90566919, -92.2710613 38.90566196, -92.27113312 38.90566208))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",173.45,0.76,0.692,1.14,0.864,0.569,2.638,3.638,14.1_6,0.2,1056,1903.51,2959.51
N,TB,4/15/2025,105,Pre,14.1,7,"POLYGON ((-92.27106177 38.90563624, -92.27106165 38.90562878, -92.2711327 38.90562901, -92.2711327 38.9056363, -92.27106177 38.90563624))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",178.2,0.761,0.688,1.142,0.865,0.569,2.639,3.639,14.1_7,0.19,1056,1593.25,2649.25
N,TB,4/15/2025,105,Pre,14.1,8,"POLYGON ((-92.27116103 38.9056286, -92.27116115 38.90563595, -92.27123166 38.90563559, -92.27123155 38.90562836, -92.27116103 38.9056286))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",183.13,0.761,0.689,1.141,0.864,0.564,2.583,3.583,14.1_8,0.18,1056,1939.24,2995.24
N,TB,4/15/2025,105,Pre,14.1,9,"POLYGON ((-92.27123166 38.90560265, -92.27123166 38.90559565, -92.27116115 38.90559589, -92.27116138 38.90560312, -92.27123166 38.90560265))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",138.07,0.756,0.694,1.134,0.861,0.576,2.722,3.722,14.1_9,0.21,1056,1130.07,2186.07
N,TB,4/15/2025,105,Pre,14.1,10,"POLYGON ((-92.27113235 38.90560324, -92.27113235 38.90559625, -92.27106243 38.90559625, -92.27106219 38.90560347, -92.27113235 38.90560324))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",111.01,0.761,0.701,1.141,0.864,0.561,2.551,3.551,14.1_10,0.24,1056,697.54,1753.54
