Exclude (Y/N),Experiment,Date,JulianDate,PrePost,Plot,Strip,Coordinates,Farm_Coordinates,PT_Height(mm),NDVI_mean,GNDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,CLRE_mean,SRre_mean,unique_id,Dry Matter %,Residula,Biomass (kg/ha),Total Biomass (kg/ha)
N,TB,5/5/2025,125,Pre,14.1,14,"POLYGON ((-92.27106179 38.90571855, -92.27106166 38.90571112, -92.27113286 38.90571129, -92.27113254 38.90571858, -92.27106179 38.90571855))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",227.62,0.692,0.632,1.038,0.818,0.517,2.139,3.139,14.1_14,0.19,1056,1549.29,2605.29
N,TB,5/5/2025,125,Pre,14.1,15,"POLYGON ((-92.27106138 38.90568561, -92.27106185 38.90567845, -92.27113293 38.9056785, -92.27113303 38.90568567, -92.27106138 38.90568561))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",223.68,0.7,0.642,1.05,0.824,0.517,2.143,3.143,14.1_15,0.21,1056,1591.26,2647.26
N,TB,5/5/2025,125,Pre,14.1,16,"POLYGON ((-92.27116117 38.90568535, -92.27116119 38.90567808, -92.27123176 38.90567773, -92.27123175 38.90568504, -92.27116117 38.90568535))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",176.82,0.708,0.652,1.062,0.829,0.511,2.087,3.087,14.1_16,0.22,1056,1455.7,2511.7
N,TB,5/5/2025,125,Pre,14.1,17,"POLYGON ((-92.27116105 38.90565263, -92.27116124 38.90564522, -92.2712316 38.90564489, -92.27123169 38.9056522, -92.27116105 38.90565263))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",192.36,0.708,0.657,1.062,0.829,0.514,2.118,3.118,14.1_17,0.24,1056,2020.84,3076.84
N,TB,5/5/2025,125,Pre,14.1,18,"POLYGON ((-92.27106129 38.90565277, -92.27106107 38.9056454, -92.27113282 38.90564552, -92.27113309 38.90565285, -92.27106129 38.90565277))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",209.77,0.713,0.653,1.07,0.833,0.519,2.156,3.156,14.1_18,0.21,1056,1759.82,2815.82
N,TB,5/5/2025,125,Pre,14.1,19,"POLYGON ((-92.27106182 38.90561984, -92.27106204 38.90561248, -92.27113254 38.90561263, -92.27113259 38.9056199, -92.27106182 38.90561984))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",176.29,0.72,0.653,1.08,0.837,0.53,2.255,3.255,14.1_19,0.24,1056,1499.41,2555.41
N,TB,5/5/2025,125,Pre,14.1,20,"POLYGON ((-92.27116129 38.90561955, -92.27116125 38.90561237, -92.27123173 38.90561192, -92.27123171 38.90561935, -92.27116129 38.90561955))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",220.97,0.708,0.649,1.062,0.829,0.517,2.139,3.139,14.1_20,0.21,1056,2102.88,3158.88
N,TB,5/5/2025,125,Pre,14.1,21,"POLYGON ((-92.27116125 38.90558692, -92.27116124 38.90557952, -92.27123213 38.90557912, -92.27123215 38.90558645, -92.27116125 38.90558692))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",231.03,0.702,0.641,1.053,0.825,0.524,2.203,3.203,14.1_21,0.24,1056,2129.86,3185.86
N,TB,5/5/2025,125,Pre,14.1,22,"POLYGON ((-92.27106229 38.90558729, -92.27106215 38.90557961, -92.27113264 38.90557976, -92.27113237 38.90558702, -92.27106229 38.90558729))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",199.56,0.713,0.67,1.07,0.833,0.509,2.071,3.071,14.1_22,0.23,1056,1483.1,2539.1
N,TB,5/5/2025,125,Pre,14.2,13,"POLYGON ((-92.27092756 38.90550867, -92.27092749 38.905516, -92.2710027 38.90551619, -92.27100303 38.90550886, -92.27092756 38.90550867))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",215.81,0.729,0.665,1.094,0.843,0.53,2.251,3.251,14.2_13,0.21,1056,2232.64,3288.64
