interval_from,interval_to,SWC_min(m3/m3),SWC_max(m3/m3),SWC_mean(m3/m3),SWC_stDev(m3/m3),Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
7/2/2024,7/3/2024,0.221000001,0.246999994,0.225566406,0.008071183,65536,0,0.221000001
7/3/2024,7/4/2024,0.286000013,0.312000006,0.290566419,0.008071183,65536,0,0.286000013
7/5/2024,7/6/2024,0.282000005,0.307000011,0.286457037,0.007781572,65536,0,0.282000005
7/8/2024,7/9/2024,0.298999995,0.331999987,0.304578123,0.010185473,65536,0,0.298999995
7/10/2024,7/11/2024,0.279000014,0.310000002,0.284359384,0.00959877,65536,0,0.279000014
7/11/2024,7/12/2024,0.261999995,0.287999988,0.266320309,0.00800823,65536,0,0.261999995
7/13/2024,7/14/2024,0.26699999,0.294999987,0.271539055,0.00860269,65536,0,0.26699999
7/16/2024,7/17/2024,0.216000006,0.246000007,0.221250006,0.009307256,65536,0,0.216000006
7/18/2024,7/19/2024,0.200000003,0.231999993,0.205222658,0.009837805,65536,0,0.200000003
7/19/2024,7/20/2024,0.184,0.217999995,0.1896875,0.010480449,65536,0,0.184
7/21/2024,7/22/2024,0.167999998,0.201000005,0.173578124,0.010185477,65536,0,0.167999998
7/22/2024,7/23/2024,0.128000006,0.160999998,0.133332036,0.010135944,65536,0,0.128000006
7/24/2024,7/25/2024,0.141000003,0.177000001,0.146906253,0.01107322,65536,0,0.141000003
7/26/2024,7/27/2024,0.141000003,0.180999994,0.147343752,0.01226812,65536,0,0.141000003
7/27/2024,7/28/2024,0.141000003,0.180000007,0.147480473,0.012012349,65536,0,0.141000003
7/29/2024,7/30/2024,0.200000003,0.240999997,0.206453128,0.012568473,65536,0,0.200000003
7/30/2024,7/31/2024,0.115999997,0.151999995,0.121906247,0.01107322,65536,0,0.115999997
8/1/2024,8/2/2024,0.163000003,0.202000007,0.169234378,0.011968374,65536,0,0.163000003
8/3/2024,8/4/2024,0.137999997,0.179000005,0.144453123,0.012568477,65536,0,0.137999997
8/4/2024,8/5/2024,0.126000002,0.167999998,0.132808596,0.012904035,65536,0,0.126000002
8/6/2024,8/7/2024,0.122000001,0.163000003,0.128453125,0.012568475,65536,0,0.122000001
8/7/2024,8/8/2024,0.079000004,0.119000003,0.085343752,0.012268122,65536,0,0.079000004
8/9/2024,8/10/2024,0.108000003,0.150000006,0.114562502,0.012869387,65536,0,0.108000003
8/11/2024,8/12/2024,0.061000001,0.101000004,0.06734375,0.012268124,65536,0,0.061000001
